"發病年月日","確定病例數"
"20220101",25
"20220102",40
"20220103",30
"20220104",37
"20220105",44
"20220106",58
"20220107",51
"20220108",45
"20220109",47
"20220110",70
"20220111",68
"20220112",97
"20220113",61
"20220114",80
"20220115",52
"20220116",60
"20220117",55
"20220118",50
"20220119",60
"20220120",60
"20220121",120
"20220122",77
"20220123",60
"20220124",52
"20220125",60
"20220126",77
"20220127",62
"20220128",47
"20220129",56
"20220130",77
"20220131",43
"20220201",36
"20220202",75
"20220203",52
"20220204",65
"20220205",56
"20220206",47
"20220207",54
"20220208",54
"20220209",66
"20220210",74
"20220211",56
"20220212",56
"20220213",43
"20220214",71
"20220215",52
"20220216",50
"20220217",79
"20220218",63
"20220219",87
"20220220",39
"20220221",59
"20220222",44
"20220223",76
"20220224",83
"20220225",55
"20220226",57
"20220227",41
"20220228",72
"20220301",60
"20220302",52
"20220303",59
"20220304",75
"20220305",58
"20220306",26
"20220307",50
"20220308",51
"20220309",98
"20220310",86
"20220311",67
"20220312",74
"20220313",56
"20220314",80
"20220315",70
"20220316",80
"20220317",91
"20220318",112
"20220319",121
"20220320",92
"20220321",97
"20220322",105
"20220323",123
"20220324",125
"20220325",112
"20220326",175
"20220327",168
"20220328",179
"20220329",141
"20220330",250
"20220331",248
"20220401",355
"20220402",423
"20220403",283
"20220404",348
"20220405",428
"20220406",488
"20220407",504
"20220408",568
"20220409",667
"20220410",648
"20220411",827
"20220412",894
"20220413",1034
"20220414",1390
"20220415",1375
"20220416",1533
"20220417",1567
"20220418",2171
"20220419",2779
"20220420",3273
"20220421",4176
"20220422",4650
"20220423",5693
"20220424",5984
"20220425",8163
"20220426",9926
"20220427",12614
"20220428",13770
"20220429",15666
"20220430",18260
"20220501",21636
"20220502",25498
"20220503",30018
"20220504",32236
"20220505",35205
"20220506",44658
"20220507",44913
"20220508",40429
"20220509",43379
"20220510",65890
"20220511",64462
"20220512",65452
"20220513",65304
"20220514",67520
"20220515",63675
"20220516",68596
"20220517",84330
"20220518",87435
"20220519",81575
"20220520",83672
"20220521",77831
"20220522",66681
"20220523",83149
"20220524",86375
"20220525",80865
"20220526",88419
"20220527",79542
"20220528",76176
"20220529",60504
"20220530",80677
"20220531",86613
"20220601",78141
"20220602",74225
"20220603",68374
"20220604",62158
"20220605",54567
"20220606",81460
"20220607",79201
"20220608",72654
"20220609",67994
"20220610",52817
"20220611",76861
"20220612",45916
"20220613",65608
"20220614",68551
"20220615",63001
"20220616",54817
"20220617",53485
"20220618",50804
"20220619",36124
"20220620",55946
"20220621",51927
"20220622",48009
"20220623",45490
"20220624",40330
"20220625",39580
"20220626",28862
"20220627",44024
"20220628",42098
"20220629",38710
"20220630",35679
"20220701",34760
"20220702",32689
"20220703",23465
"20220704",35826
"20220705",34351
"20220706",31375
"20220707",30350
"20220708",28034
"20220709",27898
"20220710",19413
"20220711",31041
"20220712",29896
"20220713",27536
"20220714",25185
"20220715",25154
"20220716",24337
"20220717",18291
"20220718",26980
"20220719",27107
"20220720",24998
"20220721",24007
"20220722",22525
"20220723",21819
"20220724",17378
"20220725",24911
"20220726",25603
"20220727",23850
"20220728",23230
"20220729",21421
"20220730",21149
"20220731",16601
"20220801",23511
"20220802",23897
"20220803",22764
"20220804",21874
"20220805",19951
"20220806",21950
"20220807",15569
"20220808",23637
"20220809",23710
"20220810",22917
"20220811",21904
"20220812",21127
"20220813",21053
"20220814",16010
"20220815",23020
"20220816",24831
"20220817",23398
"20220818",22697
"20220819",22130
"20220820",22447
"20220821",17079
"20220822",26265
"20220823",28546
"20220824",27222
"20220825",26683
"20220826",25890
"20220827",26784
"20220828",20637
"20220829",31423
"20220830",34552
"20220831",34029
"20220901",33685
"20220902",32885
"20220903",34276
"20220904",24338
"20220905",36563
"20220906",41069
"20220907",35127
"20220908",34104
"20220909",35921
"20220910",32381
"20220911",25819
"20220912",46767
"20220913",49539
"20220914",45350
"20220915",41615
"20220916",39665
"20220917",39449
"20220918",28731
"20220919",44399
"20220920",46862
"20220921",42263
"20220922",39997
"20220923",38214
"20220924",39068
"20220925",29031
"20220926",45649
"20220927",48458
"20220928",44824
"20220929",43324
"20220930",42914
"20221001",43451
"20221002",33736
"20221003",49392
"20221004",54763
"20221005",46524
"20221006",50467
"20221007",44418
"20221008",44622
"20221009",32259
"20221010",41537
"20221011",52159
"20221012",53286
"20221013",48010
"20221014",43277
"20221015",41621
"20221016",29145
"20221017",44592
"20221018",44508
"20221019",39694
"20221020",37260
"20221021",35530
"20221022",35443
"20221023",26498
"20221024",38934
"20221025",40286
"20221026",35569
"20221027",34496
"20221028",32462
"20221029",31578
"20221030",22740
"20221031",34083
"20221101",33203
"20221102",29924
"20221103",27561
"20221104",25505
"20221105",24386
"20221106",16710
"20221107",24769
"20221108",24788
"20221109",22282
"20221110",20269
"20221111",19125
"20221112",18677
"20221113",16747
"20221114",18393
"20221115",22666
"20221116",20057
"20221117",17978
"20221118",16508
"20221119",16228
"20221120",12014
"20221121",18111
"20221122",17848
"20221123",15969
"20221124",14145
"20221125",13232
"20221126",13340
"20221127",10719
"20221128",17272
"20221129",17701
"20221130",15581
"20221201",14070
"20221202",13132
"20221203",13056
"20221204",10307
"20221205",15970
"20221206",16693
"20221207",15245
"20221208",14357
"20221209",14233
"20221210",14166
"20221211",10941
"20221212",17053
"20221213",17666
"20221214",16051
"20221215",15410
"20221216",15540
"20221217",15196
"20221218",10447
"20221219",17040
"20221220",19147
"20221221",19879
"20221222",19040
"20221223",18056
"20221224",17742
"20221225",14411
"20221226",24426
"20221227",28130
"20221228",27973
"20221229",27431
"20221230",25680
"20221231",25412
"20230101",16725
"20230102",25055
"20230103",33748
"20230104",31439
"20230105",27650
"20230106",24345
"20230107",23397
"20230108",17474
"20230109",24958
"20230110",25596
"20230111",22903
"20230112",21678
"20230113",20389
"20230114",21258
"20230115",15735
"20230116",19898
"20230117",21025
"20230118",18401
"20230119",18234
"20230120",21169
"20230121",19448
"20230122",10918
"20230123",14879
"20230124",16329
"20230125",19105
"20230126",24216
"20230127",27397
"20230128",27374
"20230129",22405
"20230130",32015
